Number,Achievement,District,Students,Rating
'001902,83,Cayuga Isd,575,B
'001903,81,Elkhart Isd,1233,B
'001904,82,Frankston Isd,872,B
'001906,89,Neches Isd,360,B
'001907,78,Palestine Isd,3414,B
'001908,78,Westwood Isd,1559,C
'001909,89,Slocum Isd,423,B
'002901,78,Andrews Isd,4062,C
'003902,90,Hudson Isd,2889,A
'003903,81,Lufkin Isd,7953,B
'003904,84,Huntington Isd,1718,B
'003905,80,Diboll Isd,1884,B
'003906,73,Zavalla Isd,368,D
'003907,85,Central Isd,1521,B
'005901,92,Archer City Isd,473,A
'005902,89,Holliday Isd,1006,B
'005904,91,Windthorst Isd,428,A
'006902,89,Claude Isd,372,A
'007901,71,Charlotte Isd,492,C
'007902,81,Jourdanton Isd,1619,B
'007904,71,Lytle Isd,1692,C
'007905,79,Pleasanton Isd,3572,C
'007906,76,Poteet Isd,1734,C
'008901,81,Bellville Isd,2253,B
'008902,79,Sealy Isd,2809,C
'008903,80,Brazos Isd,805,C
'009901,75,Muleshoe Isd,1441,C
'010902,82,Bandera Isd,2278,B
'011901,75,Bastrop Isd,10863,C
'011902,75,Elgin Isd,4307,C
'011904,76,Smithville Isd,1781,C
'011905,79,Mcdade Isd,324,B
'012901,86,Seymour Isd,577,B
'013901,72,Beeville Isd,3291,C
'013903,74,Pettus Isd,429,C
'013905,82,Skidmore-Tynan Isd,833,B
'014901,84,Academy Isd,1554,B
'014903,83,Belton Isd,11488,B
'014905,82,Holland Isd,668,B
'014906,76,Killeen Isd,44233,C
'014907,81,Rogers Isd,893,B
'014908,89,Salado Isd,1862,B
'014909,70,Temple Isd,8591,C
'014910,87,Troy Isd,1528,B
'015901,90,Alamo Heights Isd,4786,B
'015904,72,Harlandale Isd,14363,C
'015905,60,Edgewood Isd,10412,D
'015906,92,Randolph Field Isd,1449,A
'015907,64,San Antonio Isd,50641,C
'015908,63,South San Antonio Isd,9102,D
'015909,76,Somerset Isd,4163,C
'015910,84,North East Isd,65805,B
'015911,69,East Central Isd,10201,C
'015912,70,Southwest Isd,13843,C
'015913,85,Lackland Isd,1051,A
'015914,90,Ft Sam Houston Isd,1608,A
'015915,82,Northside Isd,106086,B
'015916,71,Judson Isd,23108,C
'015917,69,Southside Isd,5651,C
'016901,87,Johnson City Isd,657,B
'016902,88,Blanco Isd,1028,B
'018901,83,Clifton Isd,1005,B
'018902,85,Meridian Isd,473,B
'018904,76,Valley Mills Isd,642,C
'019901,83,Dekalb Isd,830,B
'019902,82,Hooks Isd,942,B
'019903,83,Maud Isd,488,B
'019905,83,New Boston Isd,1339,B
'019906,89,Redwater Isd,1104,B
'019907,83,Texarkana Isd,7149,B
'019908,72,Liberty-Eylau Isd,2506,C
'019909,85,Simms Isd,499,B
'019911,93,Red Lick Isd,511,A
'019912,93,Pleasant Grove Isd,2125,A
'020908,92,Pearland Isd,21559,A
'020910,54,Damon Isd,209,F
'021901,90,College Station Isd,13508,B
'021902,69,Bryan Isd,16157,C
'022901,88,Alpine Isd,1080,B
'024901,67,Brooks County Isd,1580,C
'025901,83,Bangs Isd,959,B
'025902,77,Brownwood Isd,3686,C
'025905,84,May Isd,296,B
'025909,90,Early Isd,1187,A
'026901,82,Caldwell Isd,1800,B
'026902,60,Somerville Isd,500,D
'026903,70,Snook Isd,498,C
'027903,80,Burnet Cisd,3193,C
'027904,86,Marble Falls Isd,4225,B
'028902,73,Lockhart Isd,5901,C
'028903,66,Luling Isd,1427,D
'030901,79,Cross Plains Isd,368,C
'030902,87,Clyde Cisd,1433,B
'030903,84,Baird Isd,305,B
'030906,86,Eula Isd,414,B
'031901,85,Brownsville Isd,45535,B
'031903,80,Harlingen Cisd,18371,B
'031905,78,La Feria Isd,3410,B
'031906,88,Los Fresnos Cisd,10770,A
'031909,83,Point Isabel Isd,2421,B
'031911,75,Rio Hondo Isd,1947,C
'031912,75,San Benito Cisd,10453,C
'031913,79,Santa Maria Isd,685,B
'031914,84,Santa Rosa Isd,1104,B
'031916,95,South Texas Isd,4245,A
'032902,82,Pittsburg Isd,2335,B
'033902,93,Panhandle Isd,725,A
'033904,89,White Deer Isd,366,A
'034901,81,Atlanta Isd,1684,B
'034903,83,Hughes Springs Isd,1271,B
'034905,78,Linden-Kildare Cisd,696,C
'034906,83,Mcleod Isd,378,B
'034907,87,Queen City Isd,1037,B
'034909,67,Bloomburg Isd,277,D
'035901,72,Dimmitt Isd,1231,C
'036902,93,Barbers Hill Isd,5379,A
'037901,72,Alto Isd,670,C
'037904,73,Jacksonville Isd,4987,B
'037907,83,Rusk Isd,2108,B
'037909,80,Wells Isd,286,C
'038901,84,Childress Isd,1112,B
'039902,88,Henrietta Isd,955,B
'039903,79,Petrolia Cisd,515,C
'040901,60,Morton Isd,389,D
'041902,86,Robert Lee Isd,283,B
'042901,74,Coleman Isd,882,D
'042903,77,Santa Anna Isd,262,C
'043901,94,Allen Isd,21083,A
'043902,80,Anna Isd,3443,C
'043903,91,Celina Isd,2572,A
'043904,83,Farmersville Isd,1630,B
'043905,94,Frisco Isd,58278,A
'043907,89,Mckinney Isd,24791,A
'043908,91,Melissa Isd,2784,A
'043910,92,Plano Isd,53748,A
'043911,83,Princeton Isd,4368,A
'043912,93,Prosper Isd,12081,A
'043914,90,Wylie Isd,15718,A
'043917,81,Blue Ridge Isd,825,B
'043918,78,Community Isd,2257,C
'043919,96,Lovejoy Isd,4201,A
'044902,85,Wellington Isd,588,B
'045902,75,Columbus Isd,1528,C
'045905,88,Weimar Isd,666,A
'046901,86,New Braunfels Isd,8925,B
'046902,90,Comal Isd,23025,B
'047901,86,Comanche Isd,1326,B
'047902,90,De Leon Isd,725,A
'048903,76,Paint Rock Isd,256,C
'049901,70,Gainesville Isd,3059,C
'049902,92,Muenster Isd,494,A
'049903,74,Valley View Isd,808,C
'049905,85,Callisburg Isd,1154,B
'049907,93,Lindsay Isd,495,A
'050901,78,Evant Isd,243,C
'050902,81,Gatesville Isd,2786,B
'050910,79,Copperas Cove Isd,8153,B
'052901,71,Crane Isd,1154,D
'054901,76,Crosbyton Cisd,365,C
'054902,79,Lorenzo Isd,259,B
'054903,72,Ralls Isd,525,C
'056901,81,Dalhart Isd,1762,C
'057903,84,Carrollton-Farmers Branch Isd,25230,B
'057904,74,Cedar Hill Isd,7860,C
'057905,72,Dallas Isd,156726,B
'057906,65,Desoto Isd,9650,D
'057907,69,Duncanville Isd,12854,C
'057909,79,Garland Isd,56471,B
'057910,74,Grand Prairie Isd,29266,B
'057911,96,Highland Park Isd,6971,A
'057912,77,Irving Isd,33901,B
'057913,76,Lancaster Isd,7365,C
'057914,74,Mesquite Isd,40932,C
'057916,85,Richardson Isd,39204,B
'057919,93,Sunnyvale Isd,1807,A
'057922,95,Coppell Isd,12577,A
'058906,69,Lamesa Isd,1917,C
'059901,74,Hereford Isd,4176,C
'060902,87,Cooper Isd,821,B
'060914,74,Fannindel Isd,174,B
'061901,84,Denton Isd,29152,B
'061902,89,Lewisville Isd,52368,B
'061903,80,Pilot Point Isd,1399,C
'061905,81,Krum Isd,2116,C
